a,['AH0'],AT
a,['EY1'],AT
aardvark,"['AA1', 'R', 'D', 'V', 'AA2', 'R', 'K']",NN
aardvarks,"['AA1', 'R', 'D', 'V', 'AA2', 'R', 'K', 'S']",NNS
aaron,"['EH1', 'R', 'AH0', 'N']",NP
ab,"['AE1', 'B']",NN
abs,"['AE1', 'B', 'Z']",NNS
ab,"['EY1', 'B', 'IY1']",NN
abs,"['EY1', 'B', 'IY1', 'Z']",NNS
aback,"['AH0', 'B', 'AE1', 'K']",RB
abacus,"['AE1', 'B', 'AH0', 'K', 'AH0', 'S']",NN
abacuses,"['AE1', 'B', 'AH0', 'K', 'AH0', 'S', 'EH', 'Z']",NNS
abalone,"['AE2', 'B', 'AH0', 'L', 'OW1', 'N', 'IY0']",NN
abalones,"['AE2', 'B', 'AH0', 'L', 'OW1', 'N', 'IY0', 'Z']",NNS
abandon,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N']",VB
abandoned,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'D']",VBN
abandonment,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'M', 'AH0', 'N', 'T']",NN
abandonments,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'M', 'AH0', 'N', 'T', 'S']",NNS
abash,"['AH0', 'B', 'AE1', 'SH']",NN
abashes,"['AH0', 'B', 'AE1', 'SH', 'EH', 'Z']",NNS
abashed,"['AH0', 'B', 'AE1', 'SH', 'T']",VBN
abate,"['AH0', 'B', 'EY1', 'T']",NN
abates,"['AH0', 'B', 'EY1', 'T', 'S']",NNS
abatement,"['AH0', 'B', 'EY1', 'T', 'M', 'AH0', 'N', 'T']",NN
abatements,"['AH0', 'B', 'EY1', 'T', 'M', 'AH0', 'N', 'T', 'S']",NNS
abba,"['AE1', 'B', 'AH0']",NN
abbas,"['AE1', 'B', 'AH0', 'Z']",NNS
abbas,"['AH0', 'B', 'AA1', 'S']",NP
abbasi,"['AA0', 'B', 'AA1', 'S', 'IY0']",NN
abbasis,"['AA0', 'B', 'AA1', 'S', 'IY0', 'Z']",NNS
abbey,"['AE1', 'B', 'IY0']",NN-TL
abbie,"['AE1', 'B', 'IY0']",NN
abbies,"['AE1', 'B', 'IY0', 'Z']",NNS
abbot,"['AE1', 'B', 'AH0', 'T']",NN-TL
abbreviate,"['AH0', 'B', 'R', 'IY1', 'V', 'IY0', 'EY2', 'T']",NN
abbreviates,"['AH0', 'B', 'R', 'IY1', 'V', 'IY0', 'EY2', 'T', 'S']",NNS
abbreviation,"['AH0', 'B', 'R', 'IY2', 'V', 'IY0', 'EY1', 'SH', 'AH0', 'N']",NN
abbreviations,"['AH0', 'B', 'R', 'IY2', 'V', 'IY0', 'EY1', 'SH', 'AH0', 'N', 'Z']",NNS
abby,"['AE1', 'B', 'IY0']",NN
abbies,"['AE1', 'B', 'IY0', 'Z']",NNS
abdicate,"['AE1', 'B', 'D', 'AH0', 'K', 'EY2', 'T']",NN
