a,['AH0']
a,['EY1']
aardvark,"['AA1', 'R', 'D', 'V', 'AA2', 'R', 'K']"
aaron,"['EH1', 'R', 'AH0', 'N']"
ab,"['AE1', 'B']"
ab,"['EY1', 'B', 'IY1']"
aback,"['AH0', 'B', 'AE1', 'K']"
abacus,"['AE1', 'B', 'AH0', 'K', 'AH0', 'S']"
abalone,"['AE2', 'B', 'AH0', 'L', 'OW1', 'N', 'IY0']"
abandon,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N']"
abandoned,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'D']"
abandonment,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'M', 'AH0', 'N', 'T']"
abash,"['AH0', 'B', 'AE1', 'SH']"
abashed,"['AH0', 'B', 'AE1', 'SH', 'T']"
abate,"['AH0', 'B', 'EY1', 'T']"
abatement,"['AH0', 'B', 'EY1', 'T', 'M', 'AH0', 'N', 'T']"
abba,"['AE1', 'B', 'AH0']"
abbas,"['AH0', 'B', 'AA1', 'S']"
abbasi,"['AA0', 'B', 'AA1', 'S', 'IY0']"
abbey,"['AE1', 'B', 'IY0']"
abbie,"['AE1', 'B', 'IY0']"
abbot,"['AE1', 'B', 'AH0', 'T']"
abbreviate,"['AH0', 'B', 'R', 'IY1', 'V', 'IY0', 'EY2', 'T']"
abbreviation,"['AH0', 'B', 'R', 'IY2', 'V', 'IY0', 'EY1', 'SH', 'AH0', 'N']"
abby,"['AE1', 'B', 'IY0']"
abdicate,"['AE1', 'B', 'D', 'AH0', 'K', 'EY2', 'T']"
abdication,"['AE2', 'B', 'D', 'IH0', 'K', 'EY1', 'SH', 'AH0', 'N']"
abdomen,"['AE0', 'B', 'D', 'OW1', 'M', 'AH0', 'N']"
abdomen,"['AE1', 'B', 'D', 'AH0', 'M', 'AH0', 'N']"
abdominal,"['AE0', 'B', 'D', 'AA1', 'M', 'AH0', 'N', 'AH0', 'L']"
abdominal,"['AH0', 'B', 'D', 'AA1', 'M', 'AH0', 'N', 'AH0', 'L']"
abduct,"['AE0', 'B', 'D', 'AH1', 'K', 'T']"
abduction,"['AE0', 'B', 'D', 'AH1', 'K', 'SH', 'AH0', 'N']"
abduction,"['AH0', 'B', 'D', 'AH1', 'K', 'SH', 'AH0', 'N']"
abductor,"['AE0', 'B', 'D', 'AH1', 'K', 'T', 'ER0']"
abductor,"['AH0', 'B', 'D', 'AH1', 'K', 'T', 'ER0']"
abe,"['EY1', 'B']"
abed,"['AH0', 'B', 'EH1', 'D']"
abel,"['EY1', 'B', 'AH0', 'L']"
abele,"['AH0', 'B', 'IY1', 'L']"
aberdeen,"['AE1', 'B', 'ER0', 'D', 'IY2', 'N']"
aberrant,"['AE0', 'B', 'EH1', 'R', 'AH0', 'N', 'T']"
aberration,"['AE2', 'B', 'ER0', 'EY1', 'SH', 'AH0', 'N']"
aberrational,"['AE2', 'B', 'ER0', 'EY1', 'SH', 'AH0', 'N', 'AH0', 'L']"
abet,"['AH0', 'B', 'EH1', 'T']"
abeyance,"['AH0', 'B', 'EY1', 'AH0', 'N', 'S']"
abhor,"['AE0', 'B', 'HH', 'AO1', 'R']"
abhorrence,"['AH0', 'B', 'HH', 'AO1', 'R', 'AH0', 'N', 'S']"
abhorrent,"['AE0', 'B', 'HH', 'AO1', 'R', 'AH0', 'N', 'T']"
abide,"['AH0', 'B', 'AY1', 'D']"
abiding,"['AH0', 'B', 'AY1', 'D', 'IH0', 'NG']"
abie,"['AE1', 'B', 'IY0']"
abigail,"['AE1', 'B', 'AH0', 'G', 'EY2', 'L']"
ability,"['AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']"
abitibi,"['AE2', 'B', 'IH0', 'T', 'IY1', 'B', 'IY0']"
abject,"['AE1', 'B', 'JH', 'EH0', 'K', 'T']"
